,links,Grantee,Purpose,Amount,Program,Date,Overview
0,https://hewlett.org/grants/american-rivers-for-the-hydropower-reform-coalition-1/,American Rivers,For The Hydropower Reform Coalition,"$1,500,000",Environment,7/13/2020,"American Rivers’ Hydropower Reform Coalition is a consortium of more than 160 organizations working alongside agencies, industry, tribes, and communities to restore and protect rivers across the West. This Western Conservation grantee works to educate the public and policymakers about threats to rivers, and inform the federal and state licensing process and policies governing dams across the country, toward improving water quality, providing better passage for salmon and other fish species, increasing recreational and economic opportunities, and providing overall protection of critical watersheds. (Western Conservation Substrategy: Advance Conservation Protections.) Western Conservation"
1,https://hewlett.org/grants/wilderness-society-for-general-operating-support/,Wilderness Society,For General Operating Support,"$3,000,000",Environment,7/13/2020,"The Wilderness Society’s mission is uniting people to protect America’s wild places. This Western Conservation grantee organization works to make public lands a solution to the climate and extinction crises — for everyone — and grow an inclusive conservation movement to ensure all people benefit equitably from public lands. Guided by science, the Wilderness Society applies policy analysis, outreach, and communications expertise to protect and defend nature for all. It works toward enduring conservation gains that transcend politics by building meaningful relationships nationally and in communities. (Western Conservation Substrategies: Defend Public Lands and Advance Conservation Protections.) Western Conservation"
2,https://hewlett.org/grants/trout-unlimited-for-general-operating-support-1/,Trout Unlimited,For General Operating Support,"$1,500,000",Environment,7/13/2020,"Trout Unlimited (TU) works to conserve, protect, and restore North America’s cold-water fisheries and their watersheds. Across the American West, TU and its partners are working to restore rivers by removing derelict dams and other barriers to fish passage. The organization also advocates for greater protections for public lands and rivers, and is launching a public conversation about policy reforms that could protect fish and wildlife from the harmful effects of mining development. (Western Conservation Substrategy: Advance Conservation Protections.) Western Conservation"
3,https://hewlett.org/grants/youth-outside-for-branding-and-marketing/,Youth Outside,For Branding And Marketing,"$30,000",Environment,6/8/2020,  Western Conservation
4,https://hewlett.org/grants/rhodium-group-for-a-global-green-recovery-project/,Rhodium Group,For A Global Green Recovery Project,"$500,000",Environment,6/1/2020,"This project grant supports analysis of the current economic stimulus and recovery proposals and measures from the world’s top major economies, including the U.S., Europe, China, and India. This work helps identify which countries are leading the way on green recovery, distill lessons to inform various national efforts, develop recommendations for bi- and multilateral green recovery measures, and identify ways green recovery can jump-start climate cooperation over time.  "
5,https://hewlett.org/grants/community-initiatives-for-strategic-planning-for-latino-outdoors/,Community Initiatives,For Strategic Planning For Latino Outdoors,"$30,000",Environment,6/1/2020,  Western Conservation
6,https://hewlett.org/grants/native-american-rights-fund-for-communications-capacity-and-planning/,Native American Rights Fund,For Communications Capacity And Planning,"$30,000",Environment,5/31/2020,  Western Conservation
7,https://hewlett.org/grants/prime-coalition-for-diversity-equity-and-inclusion-strategies/,PRIME Coalition,"For Diversity, Equity, And Inclusion Strategies","$200,000",Environment,5/31/2020,   
8,https://hewlett.org/grants/energy-futures-initiative-for-the-labor-energy-partnership/,Energy Futures Initiative,For The Labor Energy Partnership,"$500,000",Environment,5/26/2020,"This grant supports a new partnership between the Energy Futures Initiative and the AFL-CIO and NABTU. The goal of the Labor Energy Partnership is to conduct analytic research on a series of policy priorities as key to moving forward a climate and energy policy agenda for labor. The organizations have already committed to four policy principles that will guide the analytic work: Energy policy must be based on solid scientific review, which acknowledges that climate change is real, anthropogenic, and represents an existential threat to human society; successful social solutions to climate change must include energy strategies that are regionally focused, flexible, preserve optionality, and address the crises of stranded workers; climate policy should aim to preserve existing jobs and create new ones that are equal to or better than those displaced; and climate policy represents an economic opportunity in the U.S. when the benefits of new technologies result in the creation of quality jobs and competitive domestic supply chains.  "
9,https://hewlett.org/grants/not-an-alternative-inc-for-fundraising-and-communications-planning/,"Not An Alternative, Inc.",For Fundraising And Communications Planning,"$30,000",Environment,5/15/2020,  Western Conservation
