,text
0,"American Rivers’ Hydropower Reform Coalition is a consortium of more than 160 organizations working alongside agencies, industry, tribes, and communities to restore and protect rivers across the West. This Western Conservation grantee works to educate the public and policymakers about threats to rivers, and inform the federal and state licensing process and policies governing dams across the country, toward improving water quality, providing better passage for salmon and other fish species, increasing recreational and economic opportunities, and providing overall protection of critical watersheds. (Western Conservation Substrategy: Advance Conservation Protections.) Western ConservationFor The Hydropower Reform Coalition"
1,"The Wilderness Society’s mission is uniting people to protect America’s wild places. This Western Conservation grantee organization works to make public lands a solution to the climate and extinction crises — for everyone — and grow an inclusive conservation movement to ensure all people benefit equitably from public lands. Guided by science, the Wilderness Society applies policy analysis, outreach, and communications expertise to protect and defend nature for all. It works toward enduring conservation gains that transcend politics by building meaningful relationships nationally and in communities. (Western Conservation Substrategies: Defend Public Lands and Advance Conservation Protections.) Western ConservationFor General Operating Support"
2,"Trout Unlimited (TU) works to conserve, protect, and restore North America’s cold-water fisheries and their watersheds. Across the American West, TU and its partners are working to restore rivers by removing derelict dams and other barriers to fish passage. The organization also advocates for greater protections for public lands and rivers, and is launching a public conversation about policy reforms that could protect fish and wildlife from the harmful effects of mining development. (Western Conservation Substrategy: Advance Conservation Protections.) Western ConservationFor General Operating Support"
3,  Western ConservationFor Branding And Marketing
4,"This project grant supports analysis of the current economic stimulus and recovery proposals and measures from the world’s top major economies, including the U.S., Europe, China, and India. This work helps identify which countries are leading the way on green recovery, distill lessons to inform various national efforts, develop recommendations for bi- and multilateral green recovery measures, and identify ways green recovery can jump-start climate cooperation over time.  For A Global Green Recovery Project"
5,  Western ConservationFor Strategic Planning For Latino Outdoors
6,  Western ConservationFor Communications Capacity And Planning
7,"   For Diversity, Equity, And Inclusion Strategies"
8,"This grant supports a new partnership between the Energy Futures Initiative and the AFL-CIO and NABTU. The goal of the Labor Energy Partnership is to conduct analytic research on a series of policy priorities as key to moving forward a climate and energy policy agenda for labor. The organizations have already committed to four policy principles that will guide the analytic work: Energy policy must be based on solid scientific review, which acknowledges that climate change is real, anthropogenic, and represents an existential threat to human society; successful social solutions to climate change must include energy strategies that are regionally focused, flexible, preserve optionality, and address the crises of stranded workers; climate policy should aim to preserve existing jobs and create new ones that are equal to or better than those displaced; and climate policy represents an economic opportunity in the U.S. when the benefits of new technologies result in the creation of quality jobs and competitive domestic supply chains.  For The Labor Energy Partnership"
9,  Western ConservationFor Fundraising And Communications Planning
10,  Western ConservationFor HECHO Fundraising And Development Planning
